PLAYER_1,PLAYER_2
Novak Djokovic,Dino Prizmic
Christopher Oconnell,Cristian Garin
Quentin Halys,Lloyd Harris
Daniel Elahi Galan,Jason Kubler
Andrey Rublev,Thiago Seyboth Wild
Taylor Fritz,Facundo Diaz Acosta
Frances Tiafoe,Borna Coric
Jaume Antoni Munar Clar,Alexander Shevchenko
Pavel Kotov,Arthur Rinderknech
Jannik Sinner,Botic Van De Zandschulp
Fabian Marozsan,Marin Cilic
Francisco Cerundolo,Dane Sweeny
Sebastian Baez,Jeff Wolf
Tomas Machac,Shintaro Mochizuki
Jesper De Jong,Pedro Cachin
Matteo Arnaldi,Adam Walton
Gael Monfils,Yannick Hanfmann
Adrian Mannarino,Stan Wawrinka
Jan Lennard Struff,Rinky Hijikata
Jordan Thompson,Aleksandar Vukic
Daniil Medvedev,Terence Atmane
Karen Khachanov,Daniel Altmaier
Zhizhen Zhang,Federico Coria
Christopher Eubanks,Taro Daniel
Hubert Hurkacz,Omar Jasika
Hugo Grenier,Alexandre Muller
Stefanos Tsitsipas,Zizou Bergs
Nuno Borges,Maximilian Marterer
Alexei Popyrin,Marc Polmans
Miomir Kecmanovic,Yosuke Watanuki
Alejandro Davidovich Fokina,Constant Lestienne
Emil Ruusuvuori,Patrick Kypson
Tomas Martin Etcheverry,Andy Murray
Ugo Humbert,David Goffin
Aleksandar Kovacevic,Alejandro Tabilo
Alex De Minaur,Milos Raonic
Felix Auger Aliassime,Dominic Thiem
Sebastian Korda,Vit Kopriva
Hugo Gaston,Roberto Carballes Baena
Lorenzo Musetti,Benjamin Bonzi
Flavio Cobolli,Nicolas Jarry
Luca Van Assche,James Duckworth
Jakub Mensik,Denis Shapovalov
Ben Shelton,Roberto Bautista Agut
Grigor Dimitrov,Marton Fucsovics
Thanasi Kokkinakis,Sebastian Ofner
Alexander Zverev,Dominik Koepfer
Sumit Nagal,Alexander Bublik
Cameron Norrie,Juan Pablo Varillas
Max Purcell,Mate Valkusz
Tommy Paul,Gregoire Barrere
Lorenzo Sonego,Daniel Evans
Casper Ruud,Albert Ramos
Tallon Griekspoor,Roman Safiullin
Lukas Klein,Soon Woo Kwon
Giulio Zeppieri,Dusan Lajovic
Jiri Lehecka,Bernabe Zapata Miralles
Jack Draper,Marcos Giron
Carlos Alcaraz,Richard Gasquet
Holger Rune,Yoshihito Nishioka
Arthur Cazaux,Laslo Djere
Arthur Fils,Jiri Vesely
Juncheng Shang,Mackenzie Mcdonald
Alex Michelsen,James McCabe
